Timestamp,Participant_ID,Gender,Nationality,Age,Food,Juice,Dessert
2019/05/07 2:59:13 PM GMT+8,FPS001,Male,Indian,24,Traditional food,Fresh Juice,Maybe
2019/05/07 2:59:45 PM GMT+8,FPS002,NA,Indian,22,Western Food,Carbonated drinks,Yes
2019/05/07 3:00:05 PM GMT+8,FPS003,Male,Indian,31,Western Food,Fresh Juice,Maybe
2019/05/07 3:00:11 PM GMT+8,FPS004,NA,Indian,25,Traditional food,Fresh Juice,Maybe
2019/05/07 3:02:50 PM GMT+8,FPS005,Male,Indian,27,Traditional food,Fresh Juice,Maybe
2019/05/07 3:03:34 PM GMT+8,FPS006,Male,Indian,24,Traditional food,Fresh Juice,Yes
2019/05/07 3:03:48 PM GMT+8,FPS007,NA,Indian,34,Traditional food,Fresh Juice,Yes
2019/05/07 3:04:37 PM GMT+8,FPS008,Male,Pakistani ,24,Western Food,Carbonated drinks,Yes
2019/05/07 3:05:39 PM GMT+8,FPS009,Female,Indian,19,Traditional food,Fresh Juice,Yes
2019/05/07 3:06:53 PM GMT+8,FPS010,NA,Indian,16,Western Food,Fresh Juice,Yes
2019/05/07 3:07:26 PM GMT+8,FPS011,Male,Tanzanian,23,Traditional food,Fresh Juice,No
2019/05/07 3:07:36 PM GMT+8,FPS012,Female,Indian,22,Traditional food,Fresh Juice,Yes
2019/05/07 3:07:36 PM GMT+8,FPS013,Female,Indonesia,22,Traditional food,Fresh Juice,Maybe
2019/05/07 3:07:49 PM GMT+8,FPS014,Female,Indian,24,Western Food,Carbonated drinks,Yes
2019/05/07 3:09:06 PM GMT+8,FPS015,NA,Muslim,27,Traditional food,Fresh Juice,Yes
2019/05/07 3:09:47 PM GMT+8,FPS016,Male,Pakistan,25,Traditional food,Fresh Juice,Maybe
2019/05/07 3:10:37 PM GMT+8,FPS017,Male,Maldivian ,26,Traditional food,Fresh Juice,No
2019/05/07 3:12:29 PM GMT+8,FPS018,Male,MY,22,Traditional food,Fresh Juice,No
2019/05/07 3:13:11 PM GMT+8,FPS019,Female,Malaysian,38,Traditional food,Fresh Juice,Maybe
2019/05/07 3:18:07 PM GMT+8,FPS020,Female,Indian,31,Traditional food,Fresh Juice,Maybe
2019/05/07 3:18:21 PM GMT+8,FPS021,NA,Malaysian ,21,Traditional food,Carbonated drinks,Maybe
2019/05/07 3:20:06 PM GMT+8,FPS022,Male,Indonesia,20,Traditional food,Fresh Juice,Maybe
2019/05/07 3:21:27 PM GMT+8,FPS023,Male,Malaysian,20,Western Food,Fresh Juice,Maybe
2019/05/07 3:21:40 PM GMT+8,FPS024,Male,Malaysian,22,Western Food,Fresh Juice,Yes
2019/05/07 3:22:09 PM GMT+8,FPS025,Male,Malaysian,20,Traditional food,Fresh Juice,Yes
2019/05/07 3:24:47 PM GMT+8,FPS026,Female,Indonesian ,24,Traditional food,Fresh Juice,Yes
2019/05/07 3:29:38 PM GMT+8,FPS027,Male,Indian,43,Traditional food,Fresh Juice,Maybe
2019/05/07 3:31:17 PM GMT+8,FPS028,Female,Maldivian,29,Western Food,Fresh Juice,Yes
2019/05/07 3:33:04 PM GMT+8,FPS029,Male,Indian,39,Traditional food,Fresh Juice,Yes
2019/05/07 3:33:40 PM GMT+8,FPS030,Male,Indian,26,Traditional food,Fresh Juice,Yes
2019/05/07 3:42:00 PM GMT+8,FPS031,Male,MALAYSIAN,21,Traditional food,Carbonated drinks,Maybe
2019/05/07 3:42:05 PM GMT+8,FPS032,Female,MY,40,Western Food,Fresh Juice,Yes
2019/05/07 3:46:10 PM GMT+8,FPS033,Male,Indian,13,Western Food,Fresh Juice,Maybe
2019/05/07 3:46:28 PM GMT+8,FPS034,Male,Indian,13,Western Food,Fresh Juice,Maybe
2019/05/07 3:46:56 PM GMT+8,FPS035,Male,Indian,13,Western Food,Fresh Juice,Maybe
2019/05/07 3:47:18 PM GMT+8,FPS036,Male,Malaysia ,24,Western Food,Fresh Juice,Yes
2019/05/07 3:47:44 PM GMT+8,FPS037,Male,Indian,13,Western Food,Fresh Juice,Maybe
2019/05/07 3:48:18 PM GMT+8,FPS038,Male,Indian,24,Traditional food,Fresh Juice,Yes
